company_name,bse_code,nse_code,industry,sector,sector_v1
Sanofi India,500674,SANOFI,Pharmaceuticals & Biotechnology,Pharmaceuticals,Pharmaceuticals & Biotechnology
Sanofi Consumer,544250,SANOFICONR,Pharmaceuticals & Biotechnology,Pharmaceuticals,Pharmaceuticals & Biotechnology
Hind.Aeronautics,541154,HAL,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense
eClerx Services,532927,ECLERX,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Orissa Minerals,590086,ORISSAMINE,Minerals & Mining,Industrial Minerals,Minerals & Mining
Frontier Springs,522195,,Auto Components,Auto Components & Equipments,Auto Components & Equipments
Bayer Crop Sci.,506285,BAYERCROP,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,Pesticides & Agrochemicals
CRISIL,500092,CRISIL,Finance,Other Financial Services,Finance
Foseco India,500150,FOSECOIND,Chemicals & Petrochemicals,Specialty Chemicals,Specialty Chemicals
Pilani Invest.,539883,PILANIINVS,Finance,Holding Company,Finance
Midwest Gold,526570,,Other Construction Materials,Other Construction Materials,Other Construction Materials
Pfizer,500680,PFIZER,Pharmaceuticals & Biotechnology,Pharmaceuticals,Pharmaceuticals & Biotechnology
Lumax Industries,517206,LUMAXIND,Auto Components,Auto Components & Equipments,Auto Components & Equipments
A B B,500002,ABB,Electrical Equipment,Heavy Electrical Equipment,Electrical Equipment
Interglobe Aviat,539448,INDIGO,Transport Services,Airline,Airline
Kalyani Invest.,533302,KICL,Finance,Investment Company,Finance
Dr Agarwal's Eye,526783,,Healthcare Services,Hospital,Hospital
Cera Sanitary.,532443,CERA,Consumer Durables,Sanitary Ware,Sanitary Ware
John Cockerill,500147,,Industrial Manufacturing,Industrial Products,Industrial Products
Sundaram Finance,590071,SUNDARMFIN,Finance,Non Banking Financial Company (NBFC),Finance
Indl.& Prud.Inv.,501298,,Finance,Investment Company,Finance
Blue Dart Expres,526612,BLUEDART,Transport Services,Logistics Solution Provider,Logistics Solution Provider
Kovai Medical,523323,KOVAI,Healthcare Services,Hospital,Hospital
Hero Motocorp,500182,HEROMOTOCO,Automobiles,2/3 Wheelers,Automobiles
P & G Health Ltd,500126,PGHL,Pharmaceuticals & Biotechnology,Pharmaceuticals,Pharmaceuticals & Biotechnology
Tata Elxsi,500408,TATAELXSI,IT - Software,Computers - Software & Consulting,Computers - Software & Consulting
VST Till. Tract.,531266,VSTTILLERS,"Agricultural, Commercial & Construction Vehicles",Tractors,"Agricultural, Commercial & Construction Vehicles"
Esab India,500133,ESABINDIA,Industrial Products,Other Industrial Products,Other Industrial Products
J K Cements,532644,JKCEMENT,Cement & Cement Products,Cement & Cement Products,Cement & Cement Products
