,company_name,bse_code,Industry,Sector
657,Fabtech Tech.,544558,Healthcare Services,"Healthcare Research, Analytics & Technology"
658,Fabtech Techn.,544332,Industrial Manufacturing,Industrial Products
659,Fairchem Organic,543252,Chemicals & Petrochemicals,Specialty Chemicals
660,Faze Three,530079,Textiles & Apparels,Other Textile Products
661,FCS Software,532666,IT - Services,IT Enabled Services
662,FDC,531599,Pharmaceuticals & Biotechnology,Pharmaceuticals
663,Fedbank Financi.,544027,Finance,Non Banking Financial Company (NBFC)
664,Fedders Holding,511628,Finance,Non Banking Financial Company (NBFC)
665,Federal Bank,500469,Banks,Private Sector Bank
666,Federal-Mogul Go,505744,Auto Components,Auto Components & Equipments
667,Felix Industries,,Other Utilities,Water Supply & Management
668,Fermenta Biotec.,506414,Pharmaceuticals & Biotechnology,Pharmaceuticals
669,Fiem Industries,532768,Auto Components,Auto Components & Equipments
670,Filatex Fash.,532022,Textiles & Apparels,Garments & Apparels
671,Filatex India,526227,Textiles & Apparels,Other Textile Products
672,Fine Organic,541557,Chemicals & Petrochemicals,Specialty Chemicals
673,Fineotex Chem,533333,Chemicals & Petrochemicals,Specialty Chemicals
674,Finkurve Fin.,508954,Finance,Non Banking Financial Company (NBFC)
675,Fino Payments,543386,Banks,Other Bank
676,Finolex Cables,500144,Industrial Products,Cables - Electricals
677,Finolex Inds.,500940,Industrial Products,Plastic Products - Industrial
678,Firstsour.Solu.,532809,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
679,Fischer Medical,524743,Healthcare Equipment & Supplies,Medical Equipment & Supplies
680,Five-Star Bus.Fi,543663,Finance,Non Banking Financial Company (NBFC)
681,Flair Writing,544030,Household Products,Stationary
682,Fluidomat,522017,Industrial Manufacturing,Industrial Products
683,FlySBS Aviation,,Transport Services,Airline
684,Foce India,,Consumer Durables,"Gems, Jewellery And Watches"
685,Focus Lighting,,Consumer Durables,Consumer Electronics
686,Foods & Inns,507552,Food Products,Packaged Foods
687,Forbes & Co,502865,Consumer Durables,Household Appliances
688,Forbes Precision,544186,Industrial Manufacturing,Industrial Products
689,Force Motors,500033,Automobiles,Passenger Cars & Utility Vehicles
690,Fortis Health.,532843,Healthcare Services,Hospital
691,Foseco India,500150,Chemicals & Petrochemicals,Specialty Chemicals
692,Fractal Analyt.,,,
693,FratelliVineyard,541741,Beverages,Breweries & Distilleries
694,Fredun Pharma,539730,Pharmaceuticals & Biotechnology,Pharmaceuticals
695,Freshara Agro,,Food Products,Other Food Products
696,Frontier Springs,522195,Auto Components,Auto Components & Equipments
697,FSN E-Commerce,543384,Retailing,E-Retail/ E-Commerce
698,Fujiyama Power,544613,Electrical Equipment,Other Electrical Equipment
699,Fusion Finance,543652,Finance,Microfinance Institutions
700,G M Breweries,507488,Beverages,Breweries & Distilleries
701,G M D C,532181,Minerals & Mining,Industrial Minerals
702,G N F C,500670,Chemicals & Petrochemicals,Commodity Chemicals
703,G R Infraproject,543317,Construction,Civil Construction
704,G S F C,500690,Fertilizers & Agrochemicals,Fertilizers
705,Gabriel India,505714,Auto Components,Auto Components & Equipments
706,GAIL (India),532155,Gas,Gas Transmission/Marketing
707,Gala Precis. Eng,544244,Industrial Manufacturing,Industrial Products
708,Galaxy Surfact.,540935,Chemicals & Petrochemicals,Specialty Chemicals
709,Gallantt Ispat L,532726,Industrial Products,Iron & Steel Products
710,Gandhar Oil Ref.,544029,Petroleum Products,Lubricants
711,Gandhi Spl. Tube,513108,Industrial Products,Iron & Steel Products
712,Ganesh Benzopl.,500153,Oil,Oil Storage & Transportation
713,Ganesh Consumer,544528,Food Products,Packaged Foods
714,Ganesh Green,,Construction,Civil Construction
715,Ganesh Housing,526367,Realty,"Residential, Commercial Projects"
716,Ganesh Infra.,,Construction,Civil Construction
717,Ganesha Ecosphe.,514167,Textiles & Apparels,Other Textile Products
718,Garden Reach Sh.,542011,Aerospace & Defense,Aerospace & Defense
719,Garuda Cons,544271,Construction,Civil Construction
720,Garware Hi Tech,500655,Industrial Products,Plastic Products - Industrial
721,Garware Tech.,509557,Textiles & Apparels,Other Textile Products
722,Gateway Distri,543489,Transport Services,Logistics Solution Provider
723,GE Power,532309,Electrical Equipment,Heavy Electrical Equipment
724,GE Shipping Co,500620,Transport Services,Shipping
725,GE Vernova T&D,522275,Electrical Equipment,Heavy Electrical Equipment
726,GEE,504028,Electrical Equipment,Other Electrical Equipment
727,GeeCee Vent.,532764,Realty,"Residential, Commercial Projects"
728,Geekay Wires,,Industrial Products,Iron & Steel Products
729,Gem Aromatics,544491,Chemicals & Petrochemicals,Specialty Chemicals
730,General Insuranc,540755,Insurance,General Insurance
731,Generic Engineer,539407,Realty,"Residential, Commercial Projects"
732,Genesys Intl.,506109,IT - Services,IT Enabled Services
733,Gennex Lab.,531739,Pharmaceuticals & Biotechnology,Pharmaceuticals
734,Genus Paper & Bo,538961,"Paper, Forest & Jute Products",Paper & Paper Products
735,Genus Power,530343,Electrical Equipment,Other Electrical Equipment
736,Geojit Fin. Ser.,532285,Capital Markets,Stockbroking & Allied
737,GFL,500173,Finance,Holding Company
738,GHCL,500171,Chemicals & Petrochemicals,Commodity Chemicals
739,GHCL Textiles,543918,Textiles & Apparels,Other Textile Products
740,GHV Infra,505504,Construction,Civil Construction
741,GIC Housing Fin,511676,Finance,Housing Finance Company
742,Gillette India,507815,Personal Products,Personal Care
743,Ginni Filaments,590025,Textiles & Apparels,Other Textile Products
744,Giriraj Civil,,Construction,Civil Construction
745,GK Energy,544525,Construction,Civil Construction
746,GKW,,Finance,Investment Company
747,Gland Pharma,543245,Pharmaceuticals & Biotechnology,Pharmaceuticals
748,Glaxosmi. Pharma,500660,Pharmaceuticals & Biotechnology,Pharmaceuticals
749,Glenmark Pharma.,532296,Pharmaceuticals & Biotechnology,Pharmaceuticals
750,Global Education,,Other Consumer Services,Education
751,Global Health,543654,Healthcare Services,Hospital
752,Global Surfaces,543829,Consumer Durables,Granites & Marbles
753,Global Vectra,532773,Transport Services,Airline
754,Globe Civil,544424,Construction,Civil Construction
755,Globe Intl. Car.,,Transport Services,Logistics Solution Provider
756,Globus Spirits,533104,Beverages,Breweries & Distilleries
757,Gloster Ltd,542351,"Paper, Forest & Jute Products",Jute & Jute Products
758,Glottis,544557,Transport Services,Logistics Solution Provider
759,GMM Pfaudler,505255,Industrial Manufacturing,Industrial Products
760,GMR Airports,532754,Transport Infrastructure,Airport & Airport services
761,GMR Urban,543490,Power,Power Generation
762,GNA Axles,540124,Auto Components,Auto Components & Equipments
763,GNG Electronics,544455,IT - Hardware,Computers Hardware & Equipments
764,Go Digit General,544179,Insurance,General Insurance
765,Go Fashion (I),543401,Retailing,Speciality Retail
766,Goa Carbon,509567,Minerals & Mining,Industrial Minerals
767,GOCL Corpn.,506480,Chemicals & Petrochemicals,Explosives
768,Godavari Bioref.,544279,Diversified FMCG,Diversified FMCG
769,Godawari Power,532734,Industrial Products,Iron & Steel Products
770,Godfrey Phillips,500163,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
771,Godrej Agrovet,540743,Food Products,Animal Feed
772,Godrej Consumer,532424,Personal Products,Personal Care
773,Godrej Industrie,500164,Diversified,Diversified
774,Godrej Propert.,533150,Realty,"Residential, Commercial Projects"
775,Goel Construct.,544504,Construction,Civil Construction
776,Gokaldas Exports,532630,Textiles & Apparels,Garments & Apparels
777,Gokul Agro,539725,Agricultural Food & other Products,Edible Oil
778,Gokul Refoils,532980,Agricultural Food & other Products,Edible Oil
779,Goldiam Intl.,526729,Consumer Durables,"Gems, Jewellery And Watches"
780,Goldkart Jewels,,Consumer Durables,"Gems, Jewellery And Watches"
781,Goodluck India,530655,Industrial Products,Iron & Steel Products
782,Goodricke Group,500166,Agricultural Food & other Products,Tea & Coffee
783,Goodyear India,500168,Auto Components,Tyres & Rubber Products
784,Gopal Snacks,544140,Food Products,Packaged Foods
785,GP Eco Solutions,,Electrical Equipment,Other Electrical Equipment
786,GPT Healthcare,544131,Healthcare Services,Hospital
787,GPT Infraproject,533761,Construction,Civil Construction
788,Grand Continent,,Leisure Services,Hotels & Resorts
789,Grand Oak Canyon,523862,Finance,Non Banking Financial Company (NBFC)
790,Granules India,532482,Pharmaceuticals & Biotechnology,Pharmaceuticals
791,Graphite India,509488,Industrial Products,Electrodes & Refractories
792,Grasim Inds,500300,Cement & Cement Products,Cement & Cement Products
793,Grauer & Weil,505710,Chemicals & Petrochemicals,Commodity Chemicals
794,Gravita India,533282,Minerals & Mining,Industrial Minerals
795,Greaves Cotton,501455,Industrial Products,"Compressors, Pumps & Diesel Engines"
796,Greenlam Industr,538979,Consumer Durables,Plywood Boards/ Laminates
797,Greenpanel Inds.,542857,Consumer Durables,Plywood Boards/ Laminates
798,Greenply Industr,526797,Consumer Durables,Plywood Boards/ Laminates
799,Gretex Corporate,543324,Capital Markets,Other Capital Market related Services
800,Gretex Industrie,,Entertainment,Media & Entertainment
801,Grindwell Norton,506076,Industrial Products,Abrasives & Bearings
802,GRM Overseas,531449,Agricultural Food & other Products,Other Agricultural Products
803,GRP,509152,Industrial Products,Rubber
804,GSM Foils,,Industrial Products,Packaging
805,GTL Infra.,532775,Telecom - Services,Telecom - Infrastructure
806,GTPL Hathway,540602,Entertainment,TV Broadcasting & Software Production
807,GTT Data,530457,IT - Software,Computers - Software & Consulting
808,GTV Engineering,539479,Industrial Manufacturing,Industrial Products
809,Gufic BioScience,509079,Pharmaceuticals & Biotechnology,Pharmaceuticals
810,Guj Apollo Inds,522217,Industrial Manufacturing,Industrial Products
811,Guj Inds. Power,517300,Power,Power Generation
812,Guj Pipavav Port,533248,Transport Infrastructure,Port & Port services
813,Guj. Ambuja Exp,524226,Agricultural Food & other Products,Other Agricultural Products
814,Guj. Themis Bio.,506879,Pharmaceuticals & Biotechnology,Pharmaceuticals
815,Guj.Nat.Resour.,513536,Oil,Oil Exploration & Production
816,Guj.St.Petronet,532702,Gas,Gas Transmission/Marketing
817,Gujarat Alkalies,530001,Chemicals & Petrochemicals,Commodity Chemicals
818,Gujarat Fluoroch,542812,Chemicals & Petrochemicals,Specialty Chemicals
819,Gujarat Gas,539336,Gas,LPG/CNG/PNG/LNG Supplier
820,Gujarat Kidney,544666,Healthcare Services,Hospital
821,Gulf Oil Lubric.,538567,Petroleum Products,Lubricants
822,Gulshan Polyols,532457,Agricultural Food & other Products,Other Agricultural Products
823,GVK Power Infra.,532708,Construction,Civil Construction
824,H P C L,500104,Petroleum Products,Refineries & Marketing
825,H T Media,532662,Media,Print Media
826,H U D C O,540530,Finance,Financial Institution
827,H.G. Infra Engg.,541019,Construction,Civil Construction
828,Halder Venture,539854,Agricultural Food & other Products,Other Agricultural Products
829,Haldyn Glass,515147,Industrial Products,Packaging
830,Haleos Labs Limited,540679,Pharmaceuticals & Biotechnology,Pharmaceuticals
831,Hampton Sky,526407,Realty,"Residential, Commercial Projects"
832,Happiest Minds,543227,IT - Software,Computers - Software & Consulting
833,Happy Forgings,544057,Industrial Products,Castings & Forgings
834,Hardwyn India,541276,Consumer Durables,"Furniture, Home Furnishing"
835,Hariom Pipe,543517,Industrial Products,Iron & Steel Products
836,Harri. Malayalam,500467,Industrial Products,Rubber
837,Harsha Engg Intl,543600,Industrial Products,Other Industrial Products
838,Haryana Fin. Co.,530927,Finance,Financial Institution
839,Hathway Cable,533162,Entertainment,TV Broadcasting & Software Production
840,Hatsun Agro,531531,Food Products,Dairy Products
841,Havells India,517354,Consumer Durables,Consumer Electronics
842,Hawkins Cookers,508486,Consumer Durables,Houseware
843,Haz.Multi Proj.,532467,Realty,"Residential, Commercial Projects"
844,HBL Engineering,517271,Industrial Products,Other Industrial Products
845,HCL Infosystems,500179,IT - Hardware,Computers Hardware & Equipments
846,HCL Technologies,532281,IT - Software,Computers - Software & Consulting
847,HDB FINANC SER,544429,Finance,Non Banking Financial Company (NBFC)
848,HDFC AMC,541729,Capital Markets,Asset Management Company
849,HDFC Bank,500180,Banks,Private Sector Bank
850,HDFC Life Insur.,540777,Insurance,Life Insurance
851,Health.Global,539787,Healthcare Services,Hospital
852,HEG,509631,Industrial Products,Electrodes & Refractories
853,Heidelberg Cem.,500292,Cement & Cement Products,Cement & Cement Products
854,Hemant Surgical,543916,Healthcare Equipment & Supplies,Medical Equipment & Supplies
855,Hemisphere Prop,543242,Commercial Services & Supplies,Diversified Commercial Services
856,Heranba Inds,543266,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
857,Hercules Investments,505720,Industrial Manufacturing,Industrial Products
858,Heritage Foods,519552,Food Products,Dairy Products
859,Hero Motocorp,500182,Automobiles,2/3 Wheelers
860,Hester Bios,524669,Pharmaceuticals & Biotechnology,Pharmaceuticals
861,Hexa Tradex,534328,Finance,Investment Company
862,Hexaware Tech.,544362,IT - Software,Computers - Software & Consulting
863,HFCL,500183,Telecom - Services,Telecom - Infrastructure
864,Hi-Green Carbon,,Other Utilities,Waste Management
865,Hi-Tech Pipes,543411,Industrial Products,Iron & Steel Products
866,High Energy Bat.,504176,Household Products,Household Products
867,Highway Infra,544477,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
868,Hikal,524735,Pharmaceuticals & Biotechnology,Pharmaceuticals
869,Himadri Special,500184,Chemicals & Petrochemicals,Carbon Black
870,Himatsing. Seide,514043,Textiles & Apparels,Other Textile Products
871,Hind Rectifiers,504036,Industrial Manufacturing,Industrial Products
872,Hind. Unilever,500696,Diversified FMCG,Diversified FMCG
873,Hind.Aeronautics,541154,Aerospace & Defense,Aerospace & Defense
874,Hind.Composites,509635,Auto Components,Auto Components & Equipments
875,Hind.Construct.,500185,Construction,Civil Construction
876,Hind.Oil Explor.,500186,Oil,Oil Exploration & Production
877,Hind.Urban Infra,539984,Electrical Equipment,Other Electrical Equipment
878,Hindalco Inds.,500440,Non - Ferrous Metals,Aluminium
879,Hinduja Global,532859,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
880,Hindustan Copper,513599,Non - Ferrous Metals,Copper
881,Hindustan Foods,519126,Diversified FMCG,Diversified FMCG
882,Hindustan Media,533217,Media,Print Media
883,Hindustan Motors,500500,Automobiles,Passenger Cars & Utility Vehicles
884,Hindustan Zinc,500188,Non - Ferrous Metals,Zinc
885,Hindware Home In,542905,Consumer Durables,Sanitary Ware
886,Hitachi Energy,543187,Electrical Equipment,Heavy Electrical Equipment
887,Hitech Corp.,526217,Industrial Products,Packaging
888,HLE Glascoat,522215,Industrial Manufacturing,Industrial Products
889,HLV,500193,Leisure Services,Hotels & Resorts
890,HMA Agro Inds.,543929,Food Products,Meat Products including Poultry
891,HMT,500191,Industrial Manufacturing,Industrial Products
892,Home First Finan,543259,Finance,Housing Finance Company
893,Honasa Consumer,544014,Personal Products,Personal Care
894,Honda India,522064,Industrial Manufacturing,Industrial Products
895,Honeywell Auto,517174,Industrial Manufacturing,Industrial Products
896,HP Adhesives,543433,Chemicals & Petrochemicals,Specialty Chemicals
897,HP Telecom,,Commercial Services & Supplies,Trading & Distributors
898,HPL Electric,540136,Industrial Manufacturing,Industrial Products
899,HRS Aluglaze,544656,,
900,Hubtown,532799,Realty,"Residential, Commercial Projects"
901,Huhtamaki India,509820,Industrial Products,Packaging
902,Hyundai Motor I,544274,Automobiles,Passenger Cars & Utility Vehicles
903,I G Petrochems,500199,Chemicals & Petrochemicals,Commodity Chemicals
904,I O B,532388,Banks,Public Sector Bank
905,I O C L,530965,Petroleum Products,Refineries & Marketing
906,I R C T C,542830,Leisure Services,"Tour, Travel Related Services"
907,I R F C,543257,Finance,Financial Institution
908,I T D C,532189,Leisure Services,Hotels & Resorts
909,ICE Make Refrig.,,Industrial Manufacturing,Industrial Products
910,ICICI AMC,544658,Capital Markets,Asset Management Company
911,ICICI Bank,532174,Banks,Private Sector Bank
912,ICICI Lombard,540716,Insurance,General Insurance
913,ICICI Pru Life,540133,Insurance,Life Insurance
914,ICRA,532835,Capital Markets,Ratings
915,IDBI Bank,500116,Banks,Private Sector Bank
916,Ideaforge Tech,543932,Aerospace & Defense,Aerospace & Defense
917,IDFC First Bank,539437,Banks,Private Sector Bank
918,IFB Agro Inds.,507438,Beverages,Breweries & Distilleries
919,IFB Industries,505726,Consumer Durables,Household Appliances
920,IFCI,500106,Finance,Financial Institution
921,IFGL Refractori.,540774,Industrial Products,Electrodes & Refractories
922,Igarashi Motors,517380,Auto Components,Auto Components & Equipments
923,IIFL Capital,542773,Capital Markets,Stockbroking & Allied
924,IIFL Finance,532636,Finance,Non Banking Financial Company (NBFC)
925,IIRM Holdings,526530,Commercial Services & Supplies,Consulting Services
926,IKIO Tech,543923,Consumer Durables,Consumer Electronics
927,IL&FS Engg.,532907,Construction,Civil Construction
928,Imagica. Enter.,539056,Leisure Services,Amusement Parks/ Other Recreation
929,Ind-Swift Labs.,532305,Pharmaceuticals & Biotechnology,Pharmaceuticals
930,Indag Rubber,509162,Auto Components,Tyres & Rubber Products
931,Indef Manufactur,544364,Industrial Manufacturing,Industrial Products
932,Indegene,544172,Healthcare Services,"Healthcare Research, Analytics & Technology"
933,India Cements,530005,Cement & Cement Products,Cement & Cement Products
934,India Finsec,535667,Finance,Non Banking Financial Company (NBFC)
935,India Glycols,500201,Beverages,Breweries & Distilleries
936,India Homes,513361,Industrial Products,Iron & Steel Products
937,India Motor Part,590065,Auto Components,Trading - Auto components
938,India Nipp.Elec.,532240,Auto Components,Auto Components & Equipments
939,India Pesticides,543311,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
940,India Power Corp,,Power,Integrated Power Utilities
941,INDIA SHELTE FIN,544044,Finance,Housing Finance Company
942,Indiabulls,533520,Commercial Services & Supplies,Diversified Commercial Services
943,Indiamart Inter.,542726,Retailing,Internet & Catalogue Retail
944,Indian Bank,532814,Banks,Public Sector Bank
945,Indian Energy Ex,540750,Capital Markets,Exchange and Data Platform
946,Indian Hotels Co,500850,Leisure Services,Hotels & Resorts
947,Indian Hume Pipe,504741,Industrial Manufacturing,Industrial Products
948,Indian Link Ch.,504746,Industrial Products,Other Industrial Products
949,Indian Metals,533047,Ferrous Metals,Ferro & Silica Manganese
950,Indian Renewable,544026,Finance,Financial Institution
951,Indian Toners,523586,Chemicals & Petrochemicals,Specialty Chemicals
952,Indigo Paints,543258,Consumer Durables,Paints
953,IndiGrid Trust,540565,Power,Power - Transmission
954,Indiqube Spaces,544454,Commercial Services & Supplies,Diversified Commercial Services
955,Indl. Inv. Trust,501295,Finance,Investment Company
956,Indl.& Prud.Inv.,501298,Finance,Investment Company
957,Indo Amines,524648,Chemicals & Petrochemicals,Specialty Chemicals
958,Indo Borax & Ch.,524342,Chemicals & Petrochemicals,Commodity Chemicals
959,Indo Count Inds.,521016,Textiles & Apparels,Other Textile Products
960,Indo Farm Equip.,544328,"Agricultural, Commercial & Construction Vehicles",Tractors
961,Indo National,504058,Household Products,Household Products
962,Indo Rama Synth.,500207,Textiles & Apparels,Other Textile Products
963,Indo SMC,544681,Electrical Equipment,Other Electrical Equipment
964,Indo Tech.Trans.,532717,Electrical Equipment,Heavy Electrical Equipment
965,Indo Thai Sec.,533676,Capital Markets,Stockbroking & Allied
966,Indo US Bio-Tech,541304,Agricultural Food & other Products,Other Agricultural Products
967,Indoco Remedies,532612,Pharmaceuticals & Biotechnology,Pharmaceuticals
968,Indogulf Cropsci,544432,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
969,Indokem,504092,Chemicals & Petrochemicals,Specialty Chemicals
970,Indosolar,533257,Electrical Equipment,Heavy Electrical Equipment
971,Indostar Capital,541336,Finance,Non Banking Financial Company (NBFC)
972,Indrapr.Medical,532150,Healthcare Services,Hospital
973,Indraprastha Gas,532514,Gas,LPG/CNG/PNG/LNG Supplier
974,Indus Inf. Trust,544137,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
975,Indus Towers,534816,Telecom - Services,Telecom - Infrastructure
976,IndusInd Bank,532187,Banks,Private Sector Bank
977,Infinium Pharma,,Pharmaceuticals & Biotechnology,Pharmaceuticals
978,Inflame Applian.,541083,Consumer Durables,Houseware
979,Influx Health.,,Pharmaceuticals & Biotechnology,Pharmaceuticals
980,Info Edg.(India),532777,Retailing,Internet & Catalogue Retail
981,InfoBeans Tech.,543644,IT - Software,Computers - Software & Consulting
982,Infollion Resea.,,Commercial Services & Supplies,Diversified Commercial Services
983,Infosys,500209,IT - Software,Computers - Software & Consulting
984,Ingersoll-Rand,500210,Industrial Products,"Compressors, Pumps & Diesel Engines"
985,Innova Captab,544067,Pharmaceuticals & Biotechnology,Pharmaceuticals
986,Innovana Think.,544302,IT - Software,Computers - Software & Consulting
987,Innovassynth Technologies,533315,Finance,Investment Company
988,Innovators,541353,Industrial Manufacturing,Industrial Products
989,Inox Green,543667,Power,Power Generation
990,Inox India,544046,Industrial Products,Other Industrial Products
991,Inox Wind,539083,Electrical Equipment,Heavy Electrical Equipment
992,Insecticid.India,532851,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
993,Insolation Ener,543620,Power,Power Generation
994,Inspirisys Sol.,532774,IT - Services,IT Enabled Services
995,Integ. Industrie,531889,Finance,Holding Company
996,Integra Engg.,505358,Industrial Manufacturing,Industrial Products
997,Intellect Design,538835,IT - Software,Computers - Software & Consulting
998,Intense Tech.,532326,IT - Services,IT Enabled Services
999,Interarch Build.,544232,Construction,Civil Construction
1000,Interglobe Aviat,539448,Transport Services,Airline
1001,Interiors & More,,Consumer Durables,"Furniture, Home Furnishing"
1002,International Ge,544311,Commercial Services & Supplies,Diversified Commercial Services
1003,Intl. Conveyors,509709,Industrial Manufacturing,Industrial Products
1004,Intl. Travel Hse,500213,Leisure Services,"Tour, Travel Related Services"
1005,Inv.& Prec.Cast.,504786,Industrial Products,Castings & Forgings
1006,Inventurus Knowl,544309,IT - Services,IT Enabled Services
1007,IOL Chemicals,524164,Pharmaceuticals & Biotechnology,Pharmaceuticals
1008,ION Exchange,500214,Other Utilities,Water Supply & Management
1009,Ipca Labs.,524494,Pharmaceuticals & Biotechnology,Pharmaceuticals
1010,IRB Infra.Devl.,532947,Construction,Civil Construction
1011,IRB InvIT Fund,540526,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
1012,Ircon Intl.,541956,Construction,Civil Construction
1013,Iris Clothings,,Textiles & Apparels,Garments & Apparels
1014,IRIS Regtech Solutions,540735,IT - Software,Software Products
1015,IRM Energy,544004,Gas,LPG/CNG/PNG/LNG Supplier
1016,ISGEC Heavy,533033,Construction,Civil Construction
1017,IST,508807,Auto Components,Auto Components & Equipments
1018,iStreet Network,524622,Retailing,Internet & Catalogue Retail
1019,ITC,500875,Diversified FMCG,Diversified FMCG
1020,ITC Hotels,544325,Leisure Services,Hotels & Resorts
1021,ITCONS E-Soluti.,543806,Commercial Services & Supplies,Diversified Commercial Services
1022,ITI,523610,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
1023,Ivalue Infosolut,544523,IT - Services,IT Enabled Services
1024,Iware Supplych.,,Transport Services,Logistics Solution Provider
1025,IZMO,532341,IT - Services,IT Enabled Services
1026,J & K Bank,532209,Banks,Private Sector Bank
1027,J B Chemicals &,506943,Pharmaceuticals & Biotechnology,Pharmaceuticals
1028,J K Cements,532644,Cement & Cement Products,Cement & Cement Products
1029,J Kumar Infra,532940,Construction,Civil Construction
1030,J.G.Chemicals,544138,Chemicals & Petrochemicals,Commodity Chemicals
1031,Jagatjit Inds.,507155,Beverages,Breweries & Distilleries
1032,Jagran Prakashan,532705,Media,Print Media
1033,Jagsonpal Pharma,507789,Pharmaceuticals & Biotechnology,Pharmaceuticals
1034,Jai Balaji Inds.,532976,Ferrous Metals,Iron & Steel
1035,Jai Corp,512237,Industrial Products,Plastic Products - Industrial
1036,Jain Irrigation,500219,Industrial Products,Plastic Products - Industrial
1037,Jain Resource,544537,Diversified Metals,Diversified Metals
1038,Jainam Ferro,,Ferrous Metals,Ferro & Silica Manganese
1039,Jamna Auto Inds.,520051,Auto Components,Auto Components & Equipments
1040,Jana Small Finan,544118,Banks,Other Bank
1041,Jaro Institute,544534,Other Consumer Services,E-Learning
1042,Jash Engineering,544402,Industrial Manufacturing,Industrial Products
1043,Jay Bharat Maru.,520066,Auto Components,Auto Components & Equipments
1044,Jay Shree Tea,509715,Agricultural Food & other Products,Tea & Coffee
1045,Jay Ushin,513252,Auto Components,Auto Components & Equipments
1046,Jayant Agro Org.,524330,Chemicals & Petrochemicals,Specialty Chemicals
1047,Jayaswal Neco,522285,Industrial Products,Iron & Steel Products
1048,Jaykay Enter.,500306,Aerospace & Defense,Aerospace & Defense
1049,JBM Auto,532605,Auto Components,Auto Components & Equipments
1050,JD Cables,544524,Industrial Products,Cables - Electricals
1051,Jeena Sikho,544476,Pharmaceuticals & Biotechnology,Pharmaceuticals
1052,Jenburkt Pharma,524731,Pharmaceuticals & Biotechnology,Pharmaceuticals
1053,Jindal Drilling,511034,Oil,Offshore Support Solution Drilling
1054,Jindal Photo,532624,Finance,Investment Company
1055,Jindal Poly Film,500227,Industrial Products,Packaging
1056,Jindal Poly Inve,536773,Finance,Investment Company
1057,Jindal Saw,500378,Industrial Products,Iron & Steel Products
1058,Jindal Stain.,532508,Ferrous Metals,Iron & Steel
1059,Jindal Steel,532286,Ferrous Metals,Iron & Steel
1060,Jindal Worldwide,531543,Textiles & Apparels,Other Textile Products
1061,Jinkushal Indus.,544547,"Agricultural, Commercial & Construction Vehicles","Dealers-Commercial Vehicles, Tractors, Construction Vehicles"
1062,Jio Financial,543940,Finance,Investment Company
1063,JITF Infra Logis,540311,Other Utilities,Water Supply & Management
1064,JK Lakshmi Cem.,500380,Cement & Cement Products,Cement & Cement Products
1065,JK Paper,532162,"Paper, Forest & Jute Products",Paper & Paper Products
1066,JK Tyre & Indust,530007,Auto Components,Tyres & Rubber Products
1067,JM Financial,523405,Finance,Holding Company
1068,JNK,544167,Industrial Manufacturing,Industrial Products
1069,John Cockerill,500147,Industrial Manufacturing,Industrial Products
1070,Josts Engg. Co.,505750,Industrial Manufacturing,Industrial Products
1071,JP Associates,532532,Construction,Civil Construction
1072,JP Power Ven.,532627,Power,Power Generation
1073,JSW Cement,544480,Cement & Cement Products,Cement & Cement Products
1074,JSW Energy,533148,Power,Power Generation
1075,JSW Holdings,532642,Finance,Investment Company
1076,JSW Infrast,543994,Transport Infrastructure,Port & Port services
1077,JSW Steel,500228,Ferrous Metals,Iron & Steel
1078,JTEKT India,520057,Auto Components,Auto Components & Equipments
1079,JTL Industries,534600,Industrial Products,Iron & Steel Products
1080,Jubilant Agri,544355,Chemicals & Petrochemicals,Specialty Chemicals
1081,Jubilant Food.,533155,Leisure Services,Restaurants
1082,Jubilant Ingrev.,543271,Chemicals & Petrochemicals,Specialty Chemicals
1083,Jubilant Pharmo,530019,Pharmaceuticals & Biotechnology,Pharmaceuticals
1084,Juniper Hotels,544129,Leisure Services,Hotels & Resorts
1085,Jupiter Life Lin,543980,Healthcare Services,Hospital
1086,Jupiter Wagons,533272,Industrial Manufacturing,Railway Wagons
1087,Just Dial,535648,Retailing,Internet & Catalogue Retail
1088,Jyothy Labs,532926,Household Products,Household Products
1089,Jyoti CNC Auto.,544081,Industrial Manufacturing,Industrial Products
1090,Jyoti Resins,514448,Chemicals & Petrochemicals,Specialty Chemicals
1091,Jyoti Structures,513250,Electrical Equipment,Heavy Electrical Equipment
1092,K C P,590066,Cement & Cement Products,Cement & Cement Products
1093,K P R Mill Ltd,532889,Textiles & Apparels,Other Textile Products
1094,K.P. Energy,539686,Power,Power Generation
1095,Kabra Extrusion,524109,Industrial Manufacturing,Industrial Products
1096,Kajaria Ceramics,500233,Consumer Durables,Ceramics
