,company_name,bse_code,Industry,Sector
338,Bluspring Enter.,544414,Commercial Services & Supplies,Diversified Commercial Services
339,BMW Industries,542669,Industrial Products,Iron & Steel Products
340,BMW Ventures,544543,Metals & Minerals Trading,Trading - Metals
341,BN Agrochem,526125,Commercial Services & Supplies,Trading & Distributors
342,Bodal Chemicals,524370,Chemicals & Petrochemicals,Dyes And Pigments
343,Bombay Dyeing,500020,Textiles & Apparels,Other Textile Products
344,Bombay Oxygen,509470,Finance,Non Banking Financial Company (NBFC)
345,Bombay Super Hyb,,Agricultural Food & other Products,Other Agricultural Products
346,Bondada Engineer,543971,Telecom - Services,Telecom - Infrastructure
347,Borana Weaves,544404,Textiles & Apparels,Other Textile Products
348,Borosil,543212,Consumer Durables,Houseware
349,Borosil Renew.,502219,Industrial Products,Glass - Industrial
350,Borosil Scienti.,544184,Industrial Products,Glass - Industrial
351,Bosch,500530,Auto Components,Auto Components & Equipments
352,Bosch Home Comfort,523398,Consumer Durables,Household Appliances
353,BPL,500074,Consumer Durables,Consumer Electronics
354,Brahmaputra Inf.,535693,Construction,Civil Construction
355,Brainbees Solut.,544226,Retailing,E-Retail/ E-Commerce
356,Brand Concepts,543442,Retailing,Speciality Retail
357,Brandman Retail,,,
358,Brigade Enterpr.,532929,Realty,"Residential, Commercial Projects"
359,Brigade Hotel,544457,Leisure Services,Hotels & Resorts
360,Bright Outdoor,543831,Media,Advertising & Media Agencies
361,Brightcom Group,532368,IT - Services,IT Enabled Services
362,Britannia Inds.,500825,Food Products,Packaged Foods
363,Brookfield India,543261,Realty,Real Estate Investment Trusts (REITs)
364,BSE,,Capital Markets,Exchange and Data Platform
365,Butterfly Gan Ap,517421,Consumer Durables,Household Appliances
366,C C C L,532902,Realty,"Residential, Commercial Projects"
367,C D S L,,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries"
368,C K K Retail,,,
369,C P C L,500110,Petroleum Products,Refineries & Marketing
370,C P S Shapers,,Textiles & Apparels,Garments & Apparels
371,C.E. Info System,543425,IT - Software,Software Products
372,C2C Advanced,,Aerospace & Defense,Aerospace & Defense
373,Camlin Fine,532834,Chemicals & Petrochemicals,Specialty Chemicals
374,Campus Activewe.,543523,Consumer Durables,Footwear
375,Cams Services,543232,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries"
376,Can Fin Homes,511196,Finance,Housing Finance Company
377,Canara Bank,532483,Banks,Public Sector Bank
378,Canara HSBC,544583,Insurance,Life Insurance
379,Canara Robeco,544580,Capital Markets,Asset Management Company
380,Candour Techtex,522292,Industrial Products,Plastic Products - Industrial
381,Cantabil Retail,533267,Textiles & Apparels,Garments & Apparels
382,Capacit'e Infra.,540710,Construction,Civil Construction
383,Capillary Tech.,544614,IT - Software,Software Products
384,Capital India,530879,Finance,Non Banking Financial Company (NBFC)
385,Capital Infra,544338,Construction,Civil Construction
386,Capital Small,544120,Banks,Other Bank
387,Capital Trade Lk,538476,Finance,Non Banking Financial Company (NBFC)
388,Caplin Point Lab,524742,Pharmaceuticals & Biotechnology,Pharmaceuticals
389,Capri Global,531595,Finance,Non Banking Financial Company (NBFC)
390,Captain Polyplas,536974,Industrial Products,Plastic Products - Industrial
391,Captain Techno.,540652,Industrial Manufacturing,Industrial Products
392,Carborundum Uni.,513375,Industrial Products,Abrasives & Bearings
393,CARE Ratings,534804,Capital Markets,Ratings
394,Career Point Edu,544499,Other Consumer Services,Education
395,Carraro India,544320,Auto Components,Auto Components & Equipments
396,Cartrade Tech,543333,Retailing,E-Retail/ E-Commerce
397,Carysil,524091,Consumer Durables,Household Appliances
398,Castrol India,500870,Petroleum Products,Lubricants
399,CCL Products,519600,Agricultural Food & other Products,Tea & Coffee
400,CEAT,500878,Auto Components,Tyres & Rubber Products
401,Ceigall India,544223,Construction,Civil Construction
402,Ceinsys Tech,538734,IT - Software,Computers - Software & Consulting
403,Cellecor Gadgets,,Consumer Durables,Consumer Electronics
404,Cello World,544012,Consumer Durables,Houseware
405,Cemindia Project,509496,Construction,Civil Construction
406,Central Bank,532885,Banks,Public Sector Bank
407,Centrum Capital,501150,Finance,Other Financial Services
408,Centum Electron,517544,Industrial Manufacturing,Industrial Products
409,Century Enka,500280,Textiles & Apparels,Other Textile Products
410,Century Plyboard,532548,Consumer Durables,Plywood Boards/ Laminates
411,Cera Sanitary.,532443,Consumer Durables,Sanitary Ware
412,CESC,500084,Power,Integrated Power Utilities
413,CFF Fluid,543920,Aerospace & Defense,Aerospace & Defense
414,CG Power & Ind,500093,Electrical Equipment,Heavy Electrical Equipment
415,Chalet Hotels,542399,Leisure Services,Hotels & Resorts
416,Chaman Metallics,,Ferrous Metals,Sponge Iron
417,Chamanlal Setia,530307,Agricultural Food & other Products,Other Agricultural Products
418,Chambal Fert.,500085,Fertilizers & Agrochemicals,Fertilizers
419,Chandan Healthca,,Healthcare Services,Healthcare Service Provider
420,Chavda Infra Ltd,,Construction,Civil Construction
421,Chembond Chemic.,544450,Chemicals & Petrochemicals,Specialty Chemicals
422,Chemcon Special.,543233,Chemicals & Petrochemicals,Specialty Chemicals
423,Chemfab Alka.,541269,Chemicals & Petrochemicals,Commodity Chemicals
424,Chemplast Sanmar,543336,Chemicals & Petrochemicals,Commodity Chemicals
425,Cheviot Company,526817,"Paper, Forest & Jute Products",Jute & Jute Products
426,Choice Intl.,531358,Finance,Holding Company
427,Chola Financial,504973,Finance,Investment Company
428,Cholaman.Inv.&Fn,511243,Finance,Non Banking Financial Company (NBFC)
429,CIAN Agro,519477,Agricultural Food & other Products,Edible Oil
430,CIE Automotive,532756,Auto Components,Auto Components & Equipments
431,Cigniti Tech.,534758,IT - Services,IT Enabled Services
432,Cineline India,532807,Entertainment,"Film Production, Distribution & Exhibition"
433,Cipla,500087,Pharmaceuticals & Biotechnology,Pharmaceuticals
434,City Pulse Multi,542727,Retailing,Speciality Retail
435,City Union Bank,532210,Banks,Private Sector Bank
436,CL Educate,540403,Other Consumer Services,Education
437,Clean Science,543318,Chemicals & Petrochemicals,Specialty Chemicals
438,Clear Secured,,Commercial Services & Supplies,Diversified Commercial Services
439,CLN Energy,544347,Auto Components,Auto Components & Equipments
440,CMS Info Systems,543441,Commercial Services & Supplies,Diversified Commercial Services
441,Coal India,533278,Consumable Fuels,Coal
442,Coastal Corporat,501831,Food Products,Seafood
443,Cochin Shipyard,540678,Industrial Manufacturing,Ship Building & Allied Services
444,Coffee Day Enter,539436,Leisure Services,Restaurants
445,Coforge,532541,IT - Software,Computers - Software & Consulting
446,Cohance Life,543064,Pharmaceuticals & Biotechnology,Pharmaceuticals
447,Colab Platforms,542866,Finance,Other Financial Services
448,Colgate-Palmoliv,500830,Personal Products,Personal Care
449,Commerl. Synbags,539986,Industrial Products,Packaging
450,Concord Biotech,543960,Pharmaceuticals & Biotechnology,Pharmaceuticals
451,Concord Control,543619,Industrial Manufacturing,Industrial Products
452,Concord Enviro,544315,Other Utilities,Waste Management
453,Confidence Petro,526829,Gas,LPG/CNG/PNG/LNG Supplier
454,Connplex Cinemas,,Entertainment,"Film Production, Distribution & Exhibition"
455,Cons. Finvest,,Finance,Non Banking Financial Company (NBFC)
456,Container Corpn.,531344,Transport Services,Logistics Solution Provider
457,Control Print,522295,IT - Hardware,Computers Hardware & Equipments
458,Cool Caps,,Industrial Products,Packaging
459,Coromandel Engg.,533167,Realty,"Residential, Commercial Projects"
460,Coromandel Inter,506395,Fertilizers & Agrochemicals,Fertilizers
461,Corona Remedies,544644,Pharmaceuticals & Biotechnology,Pharmaceuticals
462,Corporate Merch,540199,Finance,Other Financial Services
463,Cosmic CRF,543928,Industrial Products,Iron & Steel Products
464,Cosmo First,508814,Industrial Products,Packaging
465,Covance Softsol,544361,IT - Software,Computers - Software & Consulting
466,Craftsman Auto,543276,Auto Components,Auto Components & Equipments
467,Creative Graphic,,Industrial Products,Other Industrial Products
468,Creative Newtech,544631,Commercial Services & Supplies,Trading & Distributors
469,CreditAcc. Gram.,541770,Finance,Microfinance Institutions
470,Credo Brands,544058,Retailing,Speciality Retail
471,Crest Ventures,511413,Finance,Non Banking Financial Company (NBFC)
472,CRISIL,500092,Finance,Other Financial Services
473,Crizac,544439,Retailing,Internet & Catalogue Retail
474,Crompton Gr. Con,539876,Consumer Durables,Household Appliances
475,Cropster Agro,523105,Industrial Products,Packaging
476,CSB Bank,542867,Banks,Private Sector Bank
477,CSL Finance,530067,Finance,Non Banking Financial Company (NBFC)
478,Cube Highways,543899,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
479,Cummins India,500480,Industrial Products,"Compressors, Pumps & Diesel Engines"
480,Cupid,530843,Personal Products,Personal Care
481,CWD,543378,Consumer Durables,Consumer Electronics
482,Cybertech Sys.,532173,IT - Software,Computers - Software & Consulting
483,Cyient,532175,IT - Services,IT Enabled Services
484,Cyient DLM,543933,Industrial Manufacturing,Industrial Products
485,D B Corp,533151,Media,Print Media
486,D P Wires,543962,Industrial Products,Iron & Steel Products
487,D-Link India,533146,IT - Hardware,Computers Hardware & Equipments
488,D.P. Abhushan,544161,Consumer Durables,"Gems, Jewellery And Watches"
489,Dabur India,500096,Personal Products,Personal Care
490,Dalmia Bharat,500097,Agricultural Food & other Products,Sugar
491,Dalmia BharatLtd,542216,Cement & Cement Products,Cement & Cement Products
492,Dam Capital Advi,544316,Capital Markets,Stockbroking & Allied
493,Danish Power,,Electrical Equipment,Heavy Electrical Equipment
494,Danlaw Tech.,532329,Industrial Manufacturing,Industrial Products
495,Data Pattern,543428,Aerospace & Defense,Aerospace & Defense
496,Datamatics Glob.,532528,IT - Services,IT Enabled Services
497,Davangere Sugar,543267,Diversified FMCG,Diversified FMCG
498,DC Infotech,543636,IT - Hardware,Computers Hardware & Equipments
499,DCB Bank,532772,Banks,Private Sector Bank
500,DCM Nouvelle,542729,Textiles & Apparels,Other Textile Products
501,DCM Shriram,523367,Diversified,Diversified
502,DCM Shriram Inds,523369,Agricultural Food & other Products,Sugar
503,DCW,500117,Chemicals & Petrochemicals,Petrochemicals
504,DCX Systems,543650,Aerospace & Defense,Aerospace & Defense
